month,n,MAE_pooled,RMSE_pooled
1,222,1.553218960762024,2.05370831489563
2,240,1.3694897890090942,1.8678162097930908
3,229,1.2945374250411987,1.7413266897201538
4,204,1.6327804327011108,2.1870243549346924
5,229,1.823508381843567,2.4571731090545654
6,220,1.7789511680603027,2.353994369506836
7,216,1.6542985439300537,2.2730438709259033
8,215,1.384259819984436,1.8973392248153687
9,128,1.4230613708496094,1.928207278251648
10,119,2.2197787761688232,2.953432321548462
11,102,1.582979679107666,2.070574998855591
12,114,1.9302781820297241,2.5050883293151855
